Headline,Link,Model_Category,Sentiment,Model_Summary,Time (s)
Republicans urge Democrats to agree to short-term bill to keep US government open,https://www.investing.com/news/economy-news/republicans-urge-democrats-to-agree-to-shortterm-bill-to-keep-us-government-open-4259378,Politics,Neutral,Lawmakers are meeting with President Donald Trump ahead of scheduled discussions. The article reports on preparations for this meeting without expressing a particular bias.,1.13
"’Backdoor’ funding cuts possible by Trump administration, as Congress faces government shutdown",https://www.investing.com/news/economy-news/backdoor-funding-cuts-possible-by-trump-administration-as-congress-faces-government-shutdown-4259349,Politics,Neutral,"A U.S. government shutdown looms with just three days remaining, as negotiations continue. An advocacy group is monitoring the situation.",1.17
Young workers fear AI’s impact on their jobs more than older colleagues - DB,https://www.investing.com/news/economy-news/young-workers-fear-ais-impact-on-their-jobs-more-than-older-colleagues--db-4253669,Business,Negative,A recent survey reveals that younger workers are concerned about potential job losses due to advancements in artificial intelligence. This fear highlights the growing impact of AI on the workforce.,1.22
Global data center spending to top $500 bln in 2025: What you need to know,https://www.investing.com/news/economy-news/global-data-center-spending-to-top-500-bln-in-2025-what-you-need-to-know-4253422,Business,Positive,A new report from BofA Global Research projects global data center spending to exceed $500 billion by 2025. This indicates significant growth and investment in the data center industry.,1.33
"US agrees South Korea not a currency manipulator, Seoul says",https://www.investing.com/news/economy-news/south-korea-us-reach-an-agreement-over-foreign-exchange-deal-seoul-says-4259204,Business,Neutral,The United States has confirmed that South Korea is not manipulating its currency. This resolves prior concerns and indicates stability in their economic relationship.,1.09
"Trump to meet top Congressional leaders on Monday, White House official says",https://www.investing.com/news/economy-news/trump-to-meet-top-congressional-leaders-on-monday-white-house-official-says-4259202,Politics,Neutral,President Trump is scheduled to meet with Democratic and Republican leaders in Congress on Monday. The meeting signifies ongoing discussions within the U.S. government.,1.14
Who’s who in the Fed’s latest dot plot,https://www.investing.com/news/economy-news/whos-who-in-the-feds-latest-dot-plot-4251977,Business,Neutral,The Federal Reserve's September FOMC meeting confirmed agreement on a 25bps rate cut. The article details the committee's decisions and outlook.,1.2
U.S. government shutdown a modest drag but fresh blow to credibility: BofA,https://www.investing.com/news/economy-news/us-shutdown-a-modest-drag-but-fresh-blow-to-credibility-4258279,Business,Neutral,"A U.S. government shutdown is potentially on the horizon, but Bank of America suggests markets shouldn't be overly concerned. The article indicates a lack of immediate panic among investors.",1.28
3 upcoming macro catalysts that could shape China expectations,https://www.investing.com/news/economy-news/3-upcoming-macro-catalysts-that-could-shape-china-expectations-4251331,Business,Negative,China's economy is showing signs of weakening despite the resilience of its stock markets. Three key events are expected to impact the situation.,1.11
"Wall Street ends higher after as-expected inflation data; S&P 500, Nasdaq post weekly declines",https://www.investing.com/news/economy-news/wall-street-futures-mixed-as-investors-brace-for-inflation-data-4257169,Business,Neutral,"U.S. stocks finished higher on Friday following the release of inflation data. The data was largely in line with expectations, leading to a modest positive movement in the market.",1.27
Top Wall St regulator says he will review White House call for layoff plans,https://www.investing.com/news/economy-news/top-wall-st-regulator-says-he-will-review-white-house-call-for-layoff-plans-4256708,Business,Neutral,The U.S. Securities and Exchange Commission's (SEC) head is reportedly stepping down. This development impacts financial regulation and market oversight.,1.17
"Britain would face 100% tariff on pharmaceuticals under latest Trump plan, sources say",https://www.investing.com/news/economy-news/britain-would-face-100-tariff-on-pharmaceuticals-under-latest-trump-plan-sources-say-4258209,Business,Negative,A Reuters report indicates Britain could face 100% tariffs on pharmaceuticals imported into the U.S. This move would significantly impact the pharmaceutical trade between the two countries.,1.25
Economic Overview,,Overview,N/A,"The global economic outlook appears mixed, with signs of both growth and potential slowdowns. While the U.S. stock market is showing some positive movement and the Federal Reserve recently cut rates, concerns remain about a potential government shutdown and broader economic disruption. Several nations, including Japan, China, and Britain, are experiencing or anticipating economic cooling, while others like Sweden are actively trying to stimulate growth through monetary policy easing. Unemployment trends are unclear, with Britain showing signs of a cooling labor market and younger workers expressing AI-related job loss concerns, alongside broader anxieties about future economic stability.",0.0
