Headline,Link,Model_Category,Sentiment,Model_Summary,Time (s),Classified
Medvind för nya segel på lastfartyg,/ekonomi/medvind-for-vinddrivna-skepp/,Technology,Positive,"[2025-10-13] A Swedish company has developed a prototype utilizing wind power for propulsion. They describe wind as ""free driving force,"" indicating a potential sustainable innovation.",1.14,True
Elpriset ökar – så blir din räkning i vinter,/ekonomi/experterna-sa-paverkas-ditt-elpris-i-vinter/,Business,Negative,[2025-10-13] An expert warns that households in northern areas will be disproportionately affected by an unspecified hardship. The article suggests economic difficulties are expected to impact this region particularly.,1.24,True
Gurkor kan få ätbart och osynligt skydd,/ekonomi/atbart-skydd-pa-gurkan-kan-ersatta-plasten/,Technology,Neutral,[2025-10-13] The article discusses a test aimed at reducing plastic waste. Its purpose is to address environmental concerns through technological solutions.,1.02,True
Förbjuder fossil reklam – flygbolag hyrde Stadshuset,/ekonomi/stockholm-forbjuder-fossil-reklam-flygbolag-hade-fest-i-stadshuset/,Business,Neutral,"[2025-10-13] Stockholm announced a ban on fossil fuel advertising. On the same day, Turkish Airlines held a celebratory event.",1.02,True
Sara fick oväntad vädjan – ”JO-anmäl telefonkaoset”,/ekonomi/vadjan-inifran-arbetsformedlingen-anmal-oss/,Business,Negative,"[2025-10-13] Long queues continue at the Swedish Public Employment Service, potentially indicating a worsening situation. This suggests ongoing difficulties in accessing essential employment services.",1.1,True
• Företag ordnade få jobb – men tjänade miljonbelopp,/ekonomi/leverantorer-till-arbetsformedlingen-underpresterade-har-anda-tjanat-miljoner/,Business,Neutral,[2025-10-13] A Swedish company created very few jobs despite earning millions of kronor. The article highlights a disconnect between job creation and profitability.,1.1,True
• Synskadade Joachim söker 100 jobb,/ekonomi/synskadade-joachim-soker-100-jobb-i-manaden-inget-fortroende-alls-for-staten/,Culture,Neutral,"[2025-10-13] Joachim, a visually impaired individual, is actively seeking 100 job opportunities. This article highlights his job search efforts.",1.09,True
SJ slutar köra nattåg till kontinenten,/ekonomi/sj-slutar-kora-nattag-till-kontinenten/,Business,Negative,[2025-10-13] The article states that the state has not renewed a contract covering potential losses. This suggests a concern about financial risk and potential negative consequences.,1.19,True
Regeringen vill utreda nattågens framtid,/ekonomi/regeringen-vill-utreda-nattagens-framtid-kostnader-okar-vasentligt/,Business,Negative,"[2025-10-13] Costs are increasing, prompting a minister to pause and review the overall situation. This suggests a potential problem requiring further assessment.",1.14,True
Tungt chefsjobb gav henne utmärkelse,/ekonomi/hon-vinner-ruter-dam-2025-gar-mot-strommen-som-kvinnlig-vd/,Sports,Positive,[2025-10-13] Ulrika Kolsrud has been named Ruter Woman of the Year. This recognizes her achievements and contributions in the realm of athletics.,1.16,True
Economic Overview,,Overview,N/A,"The Swedish economy presents a mixed picture. While there's evidence of investment and innovation—such as infrastructure development, a focus on sustainable technologies like wind power, and growing interest in lignin—several indicators suggest a potential slowdown. Rising housing prices and increasing costs are raising concerns about affordability and market stability, compounded by a minister pausing to review the situation. Unemployment appears to be trending worse, signaled by long queues at the Public Employment Service and a disconnect between profitability and job creation, although individual job seekers are actively searching. Overall, the near-term outlook appears uncertain, with potential hardships anticipated, particularly in northern areas.",0.0,True
